@RELATION remain.v

@ATTRIBUTE #still{0,1}
@ATTRIBUTE #while{0,1}
@ATTRIBUTE #prisoners{0,1}
@ATTRIBUTE #prison{0,1}
@ATTRIBUTE #most{0,1}
@ATTRIBUTE #conscience{0,1}
@ATTRIBUTE #catholic{0,1}
@ATTRIBUTE #both{0,1}
@ATTRIBUTE #years{0,1}
@ATTRIBUTE #whether{0,1}
@ATTRIBUTE #where{0,1}
@ATTRIBUTE #until{0,1}

@ATTRIBUTE sense {0001, 0000, 0010, 1000, 0100}

@DATA
0100,0,0,0,0,0,0,0,0,0,0,0,0
0010,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0010,0,0,1,0,0,1,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,1,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,1,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,1,0
0010,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,1,0,0,0,0
0010,0,0,1,0,0,1,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,1,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,1,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,1,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,1,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,1,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,1,0,0,0,0
0100,0,0,0,0,0,0,0,0,1,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,0,0,0,0,0,0,0,0,1,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,1,0,0,0,1,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,1,0,0,0,0,0
0010,0,0,0,0,0,0,0,1,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,1,0,0,0,0,0,1,0,0,0,0,0
0010,0,1,0,0,0,0,0,0,0,0,0,0
