@RELATION image.n


@ATTRIBUTE sense {00001000, 00000100, 10000000, 00100000, 00000010, 00000001, 01000000, 11000000, 00010000}
@ATTRIBUTE #bit{0,1}
@ATTRIBUTE #files{0,1}
@ATTRIBUTE #wrote{0,1}
@ATTRIBUTE #party{0,1}
@ATTRIBUTE #file{0,1}
@ATTRIBUTE #self{0,1}
@ATTRIBUTE #reality{0,1}
@ATTRIBUTE #one{0,1}
@ATTRIBUTE #most{0,1}
@ATTRIBUTE #himself{0,1}
@ATTRIBUTE #colour{0,1}
@ATTRIBUTE #Mr{0,1}

@DATA
00010000,0,0,0,0,0,0,0,0,0,1,0,0
00001000,0,0,0,0,0,0,0,1,1,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
00000010,0,0,0,0,0,0,0,1,1,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,1
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,1
01000000,0,0,0,0,0,0,0,0,0,0,0,0
10000000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00000010,0,0,1,0,0,0,0,0,0,0,0,0
10000000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,1,0,0,0,0,0,0,0,1
00001000,0,0,0,0,0,0,0,0,0,0,1,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,1,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,1,1,0,0,0,0,0,0,1,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,1
01000000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,1,0,1,0,0,0,0
00010000,1,0,0,1,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,1,0,0,0,0,0
01000000,1,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,1,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
11000000,0,0,1,0,0,0,0,0,0,0,0,0
00010000,0,0,0,1,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,1,0,0,0,0,0,0,0,0,0,0,0
01000000,1,1,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,1,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,1
01000000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,1,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,1,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,1,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,1,0,0,0,1,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,1,0,1,0,0
00000100,0,0,0,0,0,0,0,0,0,0,0,0
00000010,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,1,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,1,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,1
01000000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,1,1,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,1,0,0,0,1,0,0,0,0,0,1,0
00001000,1,0,0,0,0,0,0,1,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,1,1,0,0,0,0,0,0,0,0,1,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
