@RELATION talk.v


@ATTRIBUTE sense {1000000000, 0100000000, 0000000010, 0010000000, 0001000000, 0000001000, 0000000000, 0000000001, 0000000100}
@ATTRIBUTE #faster{0,1}
@ATTRIBUTE #doctor{0,1}
@ATTRIBUTE #teachers{0,1}
@ATTRIBUTE #stopped{0,1}
@ATTRIBUTE #proper{0,1}
@ATTRIBUTE #midwife{0,1}
@ATTRIBUTE #listen{0,1}
@ATTRIBUTE #likes{0,1}
@ATTRIBUTE #hear{0,1}
@ATTRIBUTE #experiences{0,1}
@ATTRIBUTE #Lebanon{0,1}
@ATTRIBUTE #Francis{0,1}

@DATA
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,1,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000100,0,0,0,0,0,0,0,0,0,0,0,0
0000001000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,1,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000001000,0,0,0,0,0,0,0,0,0,0,0,0
0000001000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,1,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,1
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,1,0,0,0,0
0000000010,0,0,0,0,0,0,0,0,0,0,0,0
0000001000,0,0,0,0,0,0,0,1,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000001000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,1,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000001000,0,0,0,0,0,0,1,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000001000,0,0,0,1,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000001000,1,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,1,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,1,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,1,0,0,0,1,0,0,0,0,0,0
0100000000,0,0,1,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,1,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000001000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0001000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,1,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000001,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0001000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000010,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
1000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,1,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000010,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,1,0,0
