@RELATION talk.v


@ATTRIBUTE sense {1000000000, 0100000000, 0000000010, 0010000000, 0001000000, 0000001000, 0000000000, 0000000001, 0000000100}
@ATTRIBUTE #We{0,1}
@ATTRIBUTE #people{0,1}
@ATTRIBUTE #one{0,1}
@ATTRIBUTE #time{0,1}
@ATTRIBUTE #other{0,1}
@ATTRIBUTE #am{0,1}
@ATTRIBUTE #want{0,1}
@ATTRIBUTE #give{0,1}
@ATTRIBUTE #faster{0,1}
@ATTRIBUTE #seems{0,1}
@ATTRIBUTE #now{0,1}
@ATTRIBUTE #never{0,1}

@DATA
0000001000,0,0,0,0,0,0,0,0,0,1,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,1,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000010,0,0,0,0,0,0,0,0,0,0,0,0
0000001000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000001000,0,0,1,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,1,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,1,0,0,0,0,0,0,1,0
0000001000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,1,0,0,0,0,0,0
0000001000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000001000,0,0,0,0,0,0,0,0,1,0,0,0
0100000000,0,0,1,0,1,0,0,0,0,0,1,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,1,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,1,0,0,0,0,0,0,0,1,0
0100000000,0,0,0,0,0,0,0,0,0,0,1,0
0100000000,0,0,0,1,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,1,0,0,0,0,0,0,0,0,0
0100000000,0,0,1,1,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,1,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,1,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,1
0100000000,1,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,1,0,0,0,0,0,0,0,0,1,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,1
0000001000,0,1,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,1,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,1,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,1,0,0,0,0,0,0,0,0
0100000000,0,0,1,0,0,0,0,0,0,0,0,0
0001000000,0,0,0,0,1,0,0,0,0,1,0,0
0100000000,0,0,0,1,1,0,0,0,0,0,1,0
0100000000,1,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,1,0,0,0,0,0,0,0,0,0,0
0000000001,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,1,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,1,0,0,0,0,0,0,0,0,0,0,0
0100000000,1,0,0,0,0,0,0,0,0,0,0,0
0100000000,1,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,1,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0001000000,1,0,0,0,0,0,0,0,0,0,1,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000010,0,0,0,0,0,0,0,0,0,1,0,1
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,1,0
1000000000,0,1,0,1,0,0,0,0,0,0,0,0
0100000000,1,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,1,0,0,0,0,0,0,0,0,0,0,0
0100000000,1,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,1,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,1,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000010,0,0,0,0,1,0,0,0,0,0,0,0
0100000000,1,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,1,0,0,1,0,0,0,0
0100000000,0,0,1,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
