@RELATION plan.n


@ATTRIBUTE sense {0001, 0000, 0011, 0010, 0101, 0110, 1010, 1100, 1000, 0100}
@ATTRIBUTE #open{0,1}
@ATTRIBUTE #building{0,1}
@ATTRIBUTE #off{0,1}
@ATTRIBUTE #My{0,1}
@ATTRIBUTE #now{0,1}
@ATTRIBUTE #make{0,1}
@ATTRIBUTE #change{0,1}
@ATTRIBUTE #three{0,1}
@ATTRIBUTE #though{0,1}
@ATTRIBUTE #rejected{0,1}

@DATA
0000,0,0,0,1,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,1,0,0,0,1,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,1
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,1,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,1,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,1,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,1,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,1,0,0,0,0,0
