@RELATION hot.a


@ATTRIBUTE senses {00000000010000000000000, 00000000000001000000000, 00000001000000000000000, 00000000000000000000000, 00000000000000100000000, 10000000000000000000000, 01000000000000000000000, 00100000000000000000000, 00000010000000000000000, 00000000100000000000000, 00010000000000000000000}
@ATTRIBUTE #swallowing{0,1}
@ATTRIBUTE #custard{0,1}
@ATTRIBUTE #deficit{0,1}
@ATTRIBUTE #blister{0,1}
@ATTRIBUTE #moisture{0,1}
@ATTRIBUTE #dave{0,1}
@ATTRIBUTE #rage{0,1}
@ATTRIBUTE #tin{0,1}
@ATTRIBUTE #filled{0,1}
@ATTRIBUTE #watching{0,1}
@ATTRIBUTE #typewriter{0,1}
@ATTRIBUTE #cinders{0,1}
@ATTRIBUTE #rang{0,1}
@ATTRIBUTE #accompanied{0,1}
@ATTRIBUTE #dripping{0,1}
@ATTRIBUTE #weather{0,1}
@ATTRIBUTE #nights{0,1}
@ATTRIBUTE #knife{0,1}
@ATTRIBUTE #normandy{0,1}
@ATTRIBUTE #favourite{0,1}
@ATTRIBUTE #blooded{0,1}
@ATTRIBUTE #climates{0,1}
@ATTRIBUTE #bag{0,1}
@ATTRIBUTE #pudding{0,1}
@ATTRIBUTE #atmosphere{0,1}
@ATTRIBUTE #hollywood{0,1}
@ATTRIBUTE #superoo{0,1}
@ATTRIBUTE #snacks{0,1}
@ATTRIBUTE #discussing{0,1}
@ATTRIBUTE #soup{0,1}
@ATTRIBUTE #pursuit{0,1}
@ATTRIBUTE #summers{0,1}
@ATTRIBUTE #surge{0,1}
@ATTRIBUTE #teams{0,1}
@ATTRIBUTE #nor{0,1}
@ATTRIBUTE #sandwiches{0,1}
@ATTRIBUTE #beachy{0,1}
@ATTRIBUTE #washed{0,1}
@ATTRIBUTE #butter{0,1}
@ATTRIBUTE #israelites{0,1}
@ATTRIBUTE #drenchings{0,1}
@ATTRIBUTE #szechuan{0,1}
@ATTRIBUTE #cross{0,1}
@ATTRIBUTE #juiced{0,1}
@ATTRIBUTE #smell{0,1}
@ATTRIBUTE #soldering{0,1}
@ATTRIBUTE #rapidly{0,1}
@ATTRIBUTE #climb{0,1}
@ATTRIBUTE #delightful{0,1}
@ATTRIBUTE #seve{0,1}
@ATTRIBUTE #financed{0,1}
@ATTRIBUTE #followed{0,1}
@ATTRIBUTE #iron{0,1}
@ATTRIBUTE #angus{0,1}
@ATTRIBUTE #evaporate{0,1}
@ATTRIBUTE #worked{0,1}
@ATTRIBUTE #bath{0,1}
@ATTRIBUTE #golf{0,1}
@ATTRIBUTE #taps{0,1}
@ATTRIBUTE #cookers{0,1}
@ATTRIBUTE #september{0,1}
@ATTRIBUTE #melt{0,1}
@ATTRIBUTE #water{0,1}
@ATTRIBUTE #extremely{0,1}
@ATTRIBUTE #sand{0,1}
@ATTRIBUTE #champagne{0,1}
@ATTRIBUTE #ginger{0,1}
@ATTRIBUTE #thou{0,1}
@ATTRIBUTE #delicious{0,1}
@ATTRIBUTE #gushing{0,1}
@ATTRIBUTE #banana{0,1}
@ATTRIBUTE #chocolate{0,1}
@ATTRIBUTE #red{0,1}
@ATTRIBUTE #fearfully{0,1}
@ATTRIBUTE #waffle{0,1}
@ATTRIBUTE #afternoons{0,1}
@ATTRIBUTE #dishes{0,1}
@ATTRIBUTE #laid{0,1}
@ATTRIBUTE #casino{0,1}
@ATTRIBUTE #stirrings{0,1}
@ATTRIBUTE #solutions{0,1}
@ATTRIBUTE #pakistani{0,1}
@ATTRIBUTE #glue{0,1}
@ATTRIBUTE #somewhere{0,1}
@ATTRIBUTE #mess{0,1}
@ATTRIBUTE #mash{0,1}
@ATTRIBUTE #workers{0,1}
@ATTRIBUTE #tea{0,1}
@ATTRIBUTE #spices{0,1}
@ATTRIBUTE #cheeks{0,1}
@ATTRIBUTE #unbearably{0,1}
@ATTRIBUTE #mug{0,1}
@ATTRIBUTE #grief{0,1}
@ATTRIBUTE #slight{0,1}
@ATTRIBUTE #squeeze{0,1}
@ATTRIBUTE #repair{0,1}
@ATTRIBUTE #stove{0,1}
@ATTRIBUTE #hissingly{0,1}
@ATTRIBUTE #property{0,1}
@ATTRIBUTE #shone{0,1}
@ATTRIBUTE #wort{0,1}
@ATTRIBUTE #lloyd{0,1}
@ATTRIBUTE #coriander{0,1}
@ATTRIBUTE #tun{0,1}
@ATTRIBUTE #serving{0,1}
@ATTRIBUTE #moon{0,1}
@ATTRIBUTE #slave{0,1}
@ATTRIBUTE #favoured{0,1}
@ATTRIBUTE #steaming{0,1}
@ATTRIBUTE #quick{0,1}
@ATTRIBUTE #sun{0,1}
@ATTRIBUTE #pipe{0,1}
@ATTRIBUTE #phones{0,1}
@ATTRIBUTE #bitterness{0,1}
@ATTRIBUTE #chapter{0,1}
@ATTRIBUTE #headed{0,1}
@ATTRIBUTE #lounge{0,1}
@ATTRIBUTE #cocktail{0,1}
@ATTRIBUTE #italians{0,1}
@ATTRIBUTE #placed{0,1}
@ATTRIBUTE #oasis{0,1}
@ATTRIBUTE #dry{0,1}
@ATTRIBUTE #sharp{0,1}
@ATTRIBUTE #added{0,1}
@ATTRIBUTE #afternoon{0,1}
@ATTRIBUTE #worst{0,1}
@ATTRIBUTE #bending{0,1}
@ATTRIBUTE #bottle{0,1}
@ATTRIBUTE #transistors{0,1}
@ATTRIBUTE #tears{0,1}
@ATTRIBUTE #luxury{0,1}
@ATTRIBUTE #lid{0,1}
@ATTRIBUTE #twenty{0,1}
@ATTRIBUTE #felt{0,1}
@ATTRIBUTE #summer{0,1}

@DATA
01000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
01000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000000000100000000, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
