@RELATION treat.v


@ATTRIBUTE senses {1000000000, 0100000000, 0010000000, 0000100000, 0000000010, 0001000000, 0000001000, 0000000000, 0000000100, 0000010000}
@ATTRIBUTE #dogs{0,1}
@ATTRIBUTE #wood{0,1}
@ATTRIBUTE #workaday{0,1}
@ATTRIBUTE #benefit{0,1}
@ATTRIBUTE #naipaul{0,1}
@ATTRIBUTE #leniently{0,1}
@ATTRIBUTE #tend{0,1}
@ATTRIBUTE #winner{0,1}
@ATTRIBUTE #herring{0,1}
@ATTRIBUTE #exactly{0,1}
@ATTRIBUTE #refer{0,1}
@ATTRIBUTE #peking{0,1}
@ATTRIBUTE #mile{0,1}
@ATTRIBUTE #minded{0,1}
@ATTRIBUTE #pine{0,1}
@ATTRIBUTE #supplier{0,1}
@ATTRIBUTE #thoughts{0,1}
@ATTRIBUTE #timber{0,1}
@ATTRIBUTE #copal{0,1}
@ATTRIBUTE #behaviouristically{0,1}
@ATTRIBUTE #williams{0,1}
@ATTRIBUTE #policewomen{0,1}
@ATTRIBUTE #conditioning{0,1}
@ATTRIBUTE #strategic{0,1}
@ATTRIBUTE #observer{0,1}
@ATTRIBUTE #aquaguard{0,1}
@ATTRIBUTE #breast{0,1}
@ATTRIBUTE #soak{0,1}
@ATTRIBUTE #unlovely{0,1}
@ATTRIBUTE #binding{0,1}
@ATTRIBUTE #continues{0,1}
@ATTRIBUTE #region{0,1}
@ATTRIBUTE #examination{0,1}
@ATTRIBUTE #encouraged{0,1}
@ATTRIBUTE #expensive{0,1}
@ATTRIBUTE #resulting{0,1}
@ATTRIBUTE #easy{0,1}
@ATTRIBUTE #silicone{0,1}
@ATTRIBUTE #inadequately{0,1}
@ATTRIBUTE #granules{0,1}
@ATTRIBUTE #older{0,1}
@ATTRIBUTE #marketing{0,1}
@ATTRIBUTE #plausible{0,1}
@ATTRIBUTE #male{0,1}
@ATTRIBUTE #ms{0,1}
@ATTRIBUTE #generously{0,1}
@ATTRIBUTE #established{0,1}
@ATTRIBUTE #brutally{0,1}
@ATTRIBUTE #symptoms{0,1}
@ATTRIBUTE #integrated{0,1}
@ATTRIBUTE #arguments{0,1}
@ATTRIBUTE #hacking{0,1}
@ATTRIBUTE #successfully{0,1}
@ATTRIBUTE #exists{0,1}
@ATTRIBUTE #square{0,1}
@ATTRIBUTE #equally{0,1}
@ATTRIBUTE #respect{0,1}
@ATTRIBUTE #described{0,1}
@ATTRIBUTE #marquetry{0,1}
@ATTRIBUTE #reading{0,1}
@ATTRIBUTE #watercolours{0,1}
@ATTRIBUTE #yacht{0,1}
@ATTRIBUTE #enable{0,1}
@ATTRIBUTE #blacks{0,1}
@ATTRIBUTE #seditious{0,1}
@ATTRIBUTE #expenses{0,1}
@ATTRIBUTE #incidents{0,1}
@ATTRIBUTE #pests{0,1}
@ATTRIBUTE #suspicion{0,1}
@ATTRIBUTE #band{0,1}
@ATTRIBUTE #timbers{0,1}
@ATTRIBUTE #refute{0,1}
@ATTRIBUTE #tribunal{0,1}
@ATTRIBUTE #cultivation{0,1}
@ATTRIBUTE #leather{0,1}
@ATTRIBUTE #shakespeare{0,1}
@ATTRIBUTE #stabilising{0,1}
@ATTRIBUTE #seriously{0,1}
@ATTRIBUTE #visitors{0,1}
@ATTRIBUTE #romanian{0,1}
@ATTRIBUTE #offences{0,1}
@ATTRIBUTE #surfaces{0,1}
@ATTRIBUTE #marginal{0,1}
@ATTRIBUTE #period{0,1}
@ATTRIBUTE #eliot{0,1}
@ATTRIBUTE #crude{0,1}
@ATTRIBUTE #surveys{0,1}
@ATTRIBUTE #pears{0,1}
@ATTRIBUTE #citizens{0,1}
@ATTRIBUTE #mere{0,1}
@ATTRIBUTE #arrestable{0,1}
@ATTRIBUTE #senior{0,1}
@ATTRIBUTE #soil{0,1}
@ATTRIBUTE #preservative{0,1}
@ATTRIBUTE #shareholders{0,1}
@ATTRIBUTE #generic{0,1}
@ATTRIBUTE #ride{0,1}
@ATTRIBUTE #civilisations{0,1}
@ATTRIBUTE #humble{0,1}
@ATTRIBUTE #brick{0,1}
@ATTRIBUTE #calf{0,1}
@ATTRIBUTE #simpliciter{0,1}
@ATTRIBUTE #dissenters{0,1}
@ATTRIBUTE #network{0,1}
@ATTRIBUTE #hotels{0,1}
@ATTRIBUTE #treating{0,1}
@ATTRIBUTE #infringements{0,1}
@ATTRIBUTE #ramsey{0,1}
@ATTRIBUTE #mccarthy{0,1}
@ATTRIBUTE #attempts{0,1}
@ATTRIBUTE #discontented{0,1}
@ATTRIBUTE #infants{0,1}
@ATTRIBUTE #fabric{0,1}
@ATTRIBUTE #outmoded{0,1}
@ATTRIBUTE #members{0,1}
@ATTRIBUTE #caterpillars{0,1}
@ATTRIBUTE #peer{0,1}
@ATTRIBUTE #ill{0,1}
@ATTRIBUTE #minion{0,1}
@ATTRIBUTE #tortured{0,1}
@ATTRIBUTE #flowing{0,1}
@ATTRIBUTE #similarly{0,1}
@ATTRIBUTE #males{0,1}
@ATTRIBUTE #bulbs{0,1}
@ATTRIBUTE #condemned{0,1}
@ATTRIBUTE #women{0,1}
@ATTRIBUTE #bridling{0,1}
@ATTRIBUTE #meps{0,1}
@ATTRIBUTE #battens{0,1}
@ATTRIBUTE #keneally{0,1}
@ATTRIBUTE #governments{0,1}
@ATTRIBUTE #untermenschen{0,1}
@ATTRIBUTE #royal{0,1}
@ATTRIBUTE #sensory{0,1}
@ATTRIBUTE #grow{0,1}
@ATTRIBUTE #poorer{0,1}
@ATTRIBUTE #pro{0,1}

@DATA
0000000100, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
0000000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
0000000100, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
0000000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0010000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
