@RELATION paper.n


@ATTRIBUTE sense {00101000, 00100100, 00000001, 00000000, 01000000, 00010010, 11000000, 10000001, 00010000, 00100001, 00001000, 10000000, 00000100, 10000010, 10100000, 00000110, 00001010, 00100000, 00000010, 00011000, 01100000, 10001000}
@ATTRIBUTE #read{0,1}
@ATTRIBUTE #local{0,1}
@ATTRIBUTE #published{0,1}
@ATTRIBUTE #down{0,1}
@ATTRIBUTE #consultation{0,1}
@ATTRIBUTE #young{0,1}
@ATTRIBUTE #tape{0,1}
@ATTRIBUTE #research{0,1}
@ATTRIBUTE #make{0,1}
@ATTRIBUTE #yesterday{0,1}

@DATA
00000000,0,0,0,0,0,0,0,0,0,0
00000000,1,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,1,0,0,0,0,0,0,1
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,1,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,1,0,0,0,0,0,0
00000000,0,0,0,0,0,0,1,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,1,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,1,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,1,1,0,0,0,1,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,1,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,1,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,1,0,0,0
00000000,0,0,0,0,0,0,1,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,1,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,1,0,0,0,0,0,0,0,1,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,1,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,1,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,1,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,1,1,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,1,0,0,0,0,0,0,0,0
00000000,0,0,1,0,0,1,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,1,0,0,0,0,0,0,1,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,1
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,1,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,1,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,1,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,1,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,1,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,1,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,1,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,1,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,1,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,1,0,0,0,0,0,0,1,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,1,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,1,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,1,0
00000000,1,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,1,0,0,0,0,0,0,1
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,1,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,1,0,0,0,0,0
00000000,0,0,1,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,1,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,1,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,1,0,0,0,0,0,0,0,0,0
00000000,0,0,0,1,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,1,0,0,0,0,0,0,0
00000000,0,1,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,1,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,1,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,1,0,1,0,0,0,0,0
00000000,1,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,1,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,1,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,1
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,1,0,0,0,0,0,0
00000000,0,0,0,0,0,0,1,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,1,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,1,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,1,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,1
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,1,0,0,1,0,0,0,0,0
