@RELATION argument.n

@ATTRIBUTE #one{0,1}
@ATTRIBUTE #between{0,1}
@ATTRIBUTE #Mr{0,1}
@ATTRIBUTE #time{0,1}
@ATTRIBUTE #two{0,1}
@ATTRIBUTE #theory{0,1}
@ATTRIBUTE #sides{0,1}
@ATTRIBUTE #point{0,1}
@ATTRIBUTE #government{0,1}
@ATTRIBUTE #further{0,1}
@ATTRIBUTE #find{0,1}
@ATTRIBUTE #through{0,1}

@ATTRIBUTE sense {000010, 010010, 010110, 101000, 011110, 100000, 000110, 001000, 011001, 011000, 000000, 000001, 110010, 010001, 010000, 010100, 011101, 000100, 100010, 001001, 001010, 001100, 100001, 001101, 000011}

@DATA
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,1,0,0,0,0,0,0,0,0,0
000000,0,0,0,1,0,0,0,0,0,0,0,0
000000,0,0,0,0,1,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,1,0,0,1,0,0,0,0,0,0
000000,1,0,0,0,0,0,0,0,1,0,0,0
000000,1,0,0,0,0,0,0,1,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,1,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,1,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,1,0,0,0,0,0,0
000000,0,0,0,0,0,0,1,0,0,0,0,0
000000,0,0,0,0,0,1,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,1,0,0,0,0,0,1,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,1,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,1,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,1,0,0,0,0,0,0,0
000000,0,0,1,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,1,0,0,0,0,0,0,0,0,0
000000,0,0,1,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,1,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,1,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,1,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,1,0,1,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,1,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,1,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,1,0,0,0,0,0,1,0,0,0,0,0
000000,0,0,0,0,0,1,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
