@RELATION encounter.v


@ATTRIBUTE sense {00000, 00001, 01000, 00010, 00100}
@ATTRIBUTE #difficulties{0,1}
@ATTRIBUTE #weight{0,1}
@ATTRIBUTE #opposition{0,1}
@ATTRIBUTE #field{0,1}
@ATTRIBUTE #younger{0,1}
@ATTRIBUTE #whom{0,1}
@ATTRIBUTE #ways{0,1}
@ATTRIBUTE #upstairs{0,1}
@ATTRIBUTE #surprised{0,1}
@ATTRIBUTE #solutions{0,1}
@ATTRIBUTE #route{0,1}
@ATTRIBUTE #resistance{0,1}

@DATA
00010,0,0,1,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
00001,0,1,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,1
00001,0,1,0,0,0,0,0,0,1,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,1,0,0,0,0,0
00001,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
